title,content,tokens
Page 124,"Love andAttachments 109 urged to use behaviorist techniques to rear strong children: Dont pick them up when they cry, dont cuddle or coddle them, just dole out benefits and punishments for each good and bad action. How could science have gotten it so wrong? How could doctors and psy­ chologists not have seen that children need love as well as milk? This chap­ ter is about that need—the need for other people, for touch, and for close relationships. No man, woman, or child is an island. Scientists have come a long way since John Watson, and there is now a much more humane sci­ ence of love. The storyof this science begins with orphans and rhesus mon­ keys and ends with a challenge to the dismal view of love held by many of the ancients, East and West. The heroes of this stpry are two psychologists who rejected the central tenets of their training: Harry Harlow and John Bowlby. These two men knew that something was missing in behaviorism and in psychoanalysis, respectively. Against great odds they changed their fields, they humanized the treatment of children, and they made it possible for science to greatly improve upon the wisdom of the ancients. To H a v e a n d t o H o l d Harry Harlow 5 earned his Ph.D. in 1930 at Stanford, where he wrote his dissertation on the feeding behavior of baby rats. He took ajob at the Uni­ versity of Wisconsin, where he found himself overwhelmed with teaching and undersupplied with research subjects—he had no lab space, no rats, no way to perform the experiments he was expected to publish. Out of des­ peration, Harlow took his students to the little zoo in Madison, Wisconsin, which had a small number of primates. Harlow and his first graduate stu­ dent, Abe Maslow, couldnt run controlled experiments using so few ani­ mals. They were forced instead to observe, to keep their minds open, and to learn from species closely related to human beings. And one of the first things they saw was curiosity. The apes and monkeys liked to solve puzzles (the humans gave them tests to measure physical dexterity and intelli­ gence), and would work at tasks for what seemed to be the sheer pleasure of it. Behaviorism, in contrast, said that animals will only do what they have been reinforced for doing.",504
Page 125,"110 T h e Ha p p i n e H y p o t h e s i s Harlow sensed he had found a flaw in behaviorism, but he couldn't prove it with anecdotes from the local zoo. He desperately wanted a lab in which to study primates, not rats, sohe built one himself—literally built it, in the shell of an abandoned building, with the help of his students. In that makeshift lab, for the'next thirty years, Harlow and his students infuriated behaviorists by demonstrating with ever more precision that monkeys are curious, intelligent creatures who like to figure things out. They follow the laws ofreinforcement to some degree, as do humans, but there is much more going on in a monkey brain than the brain of a behaviorist could grasp. For example, giving monkeys raisins as a reward for each correct step in solving a puzzle (such as opening a mechanical latch with several moving parts) actually interferes with the solving, because it distracts the monkeys .6They enjoy the task for its own sake. As Harlows lab grew, he faced perennial shortages of monkeys. They were hard to import and, when they arrived they were often sick, bringing a stream of new infections into the lab. In 1955, Harlow conceived the bold idea of starting his own breeding colony of rhesus monkeys. Nobody had ever created a self-sustaining breeding colony of monkeys in the United States, let alone in the cold climate of Wisconsin, but Harlow was un­ deterred. He allowed his rhesus monkeys to mate, and then he took away the children within hours of their birth— to save them from infections in the crowded lab. After much experimentation, he and his students created an artificial baby formula full of nutrients and antibiotics. They found the optimum pattern of feeding, light and dark cycles, and temperature. Each baby was raised in its own cage, safe from disease. Harlow had in a way re­ alized Watsons dream of a baby farm, and the crop grew large and healthy- looking. But when the farm-raised monkeys were brought into the company of others, they were stunned and unnerved. They never developed normal social or problem-solving skills, so they were useless for experiments. Har­ low and his students were stumped. What had they forgotten? The clue was in plain sight, clutched in the monkeys' hands, until finally a grad student, Bill Mason, noticed it: diapers. The cages in the baby hatchery were sometimes lined with old diapers to provide bedding mate­ rial and protect the babies from the cold floor. The monkeys clung to the diapers, especially when they were afraid, and took them along when they",562
Page 126,"Love andAttachments 111 were carried to new cages. Mason proposed a test to Harlow: Lets expose some young monkeys to a bundle of cloth and a bundle of wood. Let s see whether the monkeys just need to hold on to something, anything, or whether theres something special about the softness of the cloth. Harlow loved the idea, and, as he thought it over, he sawan even grander question: Were the diapers really substitutes for mothers? Did the monkeys have an innate need to hold and be held, a need that was utterly starved in the baby farm? If so, how could he prove it? Harlows proof became one of the most famous experiments in all of psychology. Harlow put the milk hypothesis to a direct test. He created two kinds of surrogate mother, each one a cylinder about the size of an adult female rhe­ sus monkey, complete with a wooden head that had eyes and a mouth. One kind was made ofwire mesh, the other was covered with a layer of foam and then a layer of soft terrycloth. Each of eight baby rhesus monkeys was raised alone in a cage with two surrogate mothers, one of each kind. For four of the monkeys, milk was delivered only from a tube coming through the chest of the wire mother. For the other four, the tube came through the chest of the cloth mother. If Freud and Watson were right that milk was the cause of attachment, the monkeys should attach to their milk givers. But that's not what happened. All the monkeys spent nearly all their time clinging to, climbing on, and pushing themselves into the soft folds of the cloth mother. Harlow's experiment 7 is so elegant and so convincing that you don’t need to see statistics to understand the results. You just need to see the famous photo, now included in every introductory psychology book, in which a baby monkey clings to the cloth mother with its hind legs while stretching over to feed from the tube protruding from the wire mother. Harlow argued that “contact comfort'' is a basic need that young mam­ mals have for physical contact with their mother. In the absence of a real mother, young mammals will seek out whatever feels most like a mother. Ilarlow chose the term carefully, because the mother, even a cloth mother, provides comfort when it is most needed, and that comfort comes mostly from direct contact. Displays of familial love often move people to tears, and Deborah Blum’s wonderful biography of Harlow, Love at Goon Park,8is full of touching ex­ pressions of familial love. It is an uplifting story, ultimately, but along the",544
Page 127,"112 T h e H a p p i n eHsy p o t h e s i s way it is full of sadness and unrequited love. The cover of the book, for ex­ ample, shows a picture of a young rhesus monkey alone in a cage, gazing at its cloth “mother”through a pane of glass. L q v e C o n q u e r s F e a r John Bowlby’s life followed an entirely different path from Harlows, even though it led, ultimately, to the same discovery .9Bowlby was an English aristocrat, raised by a nanny, and sent to boarding school. He studied med­ icine and became a psychoanalyst, but during his early training years, he did some volunteer work that shaped the rest of his career. He worked at two homes for maladjusted children, many of whom had no real contact with their parents. Some were aloof and uncommunicative; others were hopelessly clingy, following him around anxiously if he paid the slightest attention to them. After serving in World War II, Bowlby returned to En­ gland to run the childrens clinic in a hospital. He began to do research on how separation from parents affects children. Europe at that time had just experienced more parent-child separations than had any place in all of hu­ man history. The war had created vast numbers of orphans, refugees, and children sent away to the countryside for their own safety. The new World Health Organization commissioned Bowlby to write a report on the best way to deal with these children. Bowlby toured hospitals and orphanages, and his report, published in 1951, was a passionate argument against pre­ vailing notions that separation and isolation are harmless, and that biologi­ cal needs such as nutrition are paramount. Children need love to develop properly, he argued; children need mothers. Throughout the 1950s, Bowlby developed his ideas and weathered the scorn of psychoanalysts such as Anna Freud and Melanie Klein, whose theories (about libido and breasts) he contradicted. He had the good luck to meet a leading ethologist of the day, Robert Hinde, who taught him about new research on animal behavior. Konrad Lorenz, for example, had demonstrated that ducklings, ten to twelve hours after they hatch, will lock onto whatever duck-sized thing moves around in their environment and theft follow it around for months.10In nature this thing is always mom, but",516
Page 128,"Love andAttachments 113 in Lorenzs demonstrations, anything he moved around worked— even his own boots (with him in them). This visual “imprinting”mechanism is quite different from what happens in people, but once Bowlby began to think about how evolution creates mechanisms to make sure that mothers and children stay together, the way was open for an entirely new approach to human parent-child relationships. Theres no need to derive the bond from milk, reinforcement, libido, or anything else. Rather, the attachment of mother and child is so enormously important for the survival of the child that a dedicated system is built into mother and child in all species that relyon maternal care. As Bowlby began to pay more attention to animal be­ havior, he saw many similarities between the behaviors of baby monkeys and baby humans: clinging, sucking, crying when left behind, following whenever possible. All these behaviors functioned in other primates to keep the child close to mom, and all were visible in human children, even the “pick me up”signal of upstretched arms. In 1957, Hinde learned about Harlows not-yet-published cloth-mother studies and told Bowlby, who wrote to Harlow and later visited him in Wis­ consin. The two men became great allies and supporters of each other. Bowlby, the great theorist, created the framework that has unified most sub- sequent research on parent-child relations; and Harlow, the great experi­ mentalist, provided the first irrefutable lab demonstrations of the theory. Bowlbys grand synthesis is called attachment theory .11It borrows from the science of cybernetics—the study of how mechanical and biological systems can regulate themselves to achieve preset goals while the environ­ ment around and inside them changes. Bowlby’s first metaphor was the simplest cybernetic system of all—a thermostat that turns on a heater when the temperature drops below a set point. Attachment theory begins with the idea that two basic goals guide chil­ dren’s behavior: safety and exploration. A child who stays safe survives; a child who explores and plays develops the skills and intelligence needed for adult life. (This is why all mammal babies play; and the larger their frontal cortex, the more they need to play ) .1These two needs are often opposed, however, sotheyare regulated bya kind of thermostat that monitors the level of ambient safety. When the safety level is adequate, the child plays and ex­ plores. But as soon as it drops too low, it’s as though a switch were thrown",532
Page 129,"114 T h e Ha p p i n e H y p o t h e s i s and suddenly safety needs become paramount. The child stops playing and moves toward mom. If mom is unreachable, the child cries, and with in­ creasing desperation; when mom returns, the child seeks touch, or some other reassurance, before the system can reset and play can resume. This is an instance of the “design”principle I discussed in chapter 2: opposing sys­ tems push against each other to reach a balance point. (Fathers make per­ fectly good attachment figures, but Bowlby focused on mother-child attachments, which usuallyget off to a faster start.) If you want to see the system in action, just try engaging a two-year-old in play If you go to a friends house and meet her child for the first time, it should take only a minute. The child feels secure in his familiar surround­ ings, and his mother functions as what Bowlby called a “secure base”—an attachment figure whose presence guarantees safety, turns off fear, and thereby enables the\explorations that lead to healthy development. But if your friend brings her son over to your house for the first time, it will take longer. You’ll probably have to walk around your friendjust to find the little head hiding behind her thighs. And then, if you succeed in starting a game—making faces at him to make him laugh, perhaps—just watch what happens when his mother goes to the kitchen to get a glass of water. The thermostat clicks, the game ends, and your play partner scampers off to the kitchen, too. Harlow had shown all the same behavior in monkeys .13 Young monkeys placed with their cloth mother in the center of an open room full of toys eventually climbed down from mom to explore, but they returned often to touch her and reconnect. If the cloth mother was re­ moved from the room, all play stopped and frantic screaming ensued. ,When children are separated from their attachment figures for a long time, as in a hospital stay, they quickly descend into passivity and despair. When theyare denied a stable and enduring attachment relationship (raised, for example, bya succession offoster parents or nurses), they are likely tobe damaged for life, Bowlby said. They might become the aloof loners or hope­ less clingers that Bowlby had seen in his volunteer work. Bowlby’stheory di­ rectlycontradictedWatson aswell as the Freuds (Sigmund and Anna): If you want your children to grow up to be healthy and independent, you should hold them, hug them, cuddle them, and love them. Give them a secure base and theywill explore and then conquer the world on their own. The power of",580
Page 130,"Love andAttachments 115 love over fear was well expressed in the New Testament: “There is no fear in love, but perfect love casts out fear”(Jo h 4:18). T h e P r o o f Is i n t h e P a r t i n g If youre going to contradict the prevailing wisdom of your day, you’d better have darn good evidence. Harlows studies were darn good, but skeptics claimed they didn’t apply to people, Bowlby needed more proof, and he got it from a Canadian woman who happened to answer an ad he placed for a research assistant in 1950. Mary Ainsworth, who had moved to London with her husband, spent three years working with Bowlby on his early stud­ ies of hospitalized children. When her husband took an academic job in Uganda, Ainsworth went with him again and took advantage of the oppor­ tunity to make careful observations of children in Ugandan villages. Even in a culture where women share mothering duties for all the children in the extended family household, Ainsworth observed a special bond be­ tween a child and his own mother. The mother was much more effective as a secure base than were other women. Ainsworth then moved to the Johns Hopkins University in Baltimore, and after that to the University of Vir­ ginia, where she thought about how to test Bowlby’s ideas, and her own, about the mother-child relationship. In Bowlby’scybernetic theory, the action is in the changes. You can’tjust watch a child play; you have to look at how the exploration and safety goals shift in response to changing conditions. So Ainsworth developed a little drama, later called the “Strange Situation,” and cast the child in the star­ ring role. 1In essence, she re-created the experiments in which Harlow had placed monkeys in an open room with novel toys. In the first scene, the mother and her child enter a comfortable room, full of toys. Most chil­ dren in the experiment soon crawl or toddle off to explore. In scene two, a Friendly woman enters, talks with the mother for a few minutes, and then joins the child in play. In scene three, the mother gets up and leaves the child alone for a few minutes with the stranger. In scene four, she returns and the stranger leaves. In scene five, the mother leaves again, and the child is all alone in the room. In scene six, the stranger returns; and in",523
Page 131,"116 T h e H a p p i n eHsy p o t h e s i s scene seven, the mother returns for good. The play is designed to ratchet up the child’s stress level in order to see how the child’sattachment system manages the scene changes. Ainsworth found three common patterns of managing. In about two-thirds of American children, the system does just what Bowlby said it should, that is, shift smoothly between play and security- seekingas the situation changes. Children following this pattern, called “se­ cure” attachment, reduce or stop their play when their mothers leave, and then show anxiety, which the stranger cannot fully relieve. In the two scenes where mom returns, these children show delight, often moving to­ ward her or touching her to reestablish contact with their secure base; but then they quickly settle down and return to play In the other third of chil­ dren, the scene changes are more awkward; these children have one of two types of insecure attachment. The majority of them don’t seem to care very much whether mom comes or goes, although subsequent physiological re­ search showed that they are indeed distressed by the separation. Rather, these children seem to be suppressing their distress by trying to manage it on their own instead of relyingupon mom for comfort. Ainsworth called this pattern “avoidant”attachment. The remaining children, about 1 2percent in the United States, are anxious and clingy throughout the study. They be­ come extremely upset when separated from mom, they sometimes resist her efforts to comfort them when she returns, and they never fully settle down to play in the unfamiliar room. Ainsworth called this pattern “resistan.”15 Ainsworth first thought these differences were caused entirely by good or bad mothering. She observed mothers at home and found that those who were warm and highly responsive to their children were most likely to have children who showed secure attachment in the strange situation. These chil­ dren had learned that they could count on their mothers, and were therefore the most bold and confident. Mothers who were aloofand unresponsive were more likely to have avoidant children, who had learned not to expect much help and comfort from mom. Mothers whose responses were erratic and un­ predictable were more likely to have resistant children, who had learned that their efforts to elicit comfort sometimes paid off, but sometimes not. But whenever I hear about correlations between mother and child, I’m skeptical. Twin studies almost always show that personality traits are due",519
Page 132,"Love andAttachments 117 more to genetics than to parenting .16Maybe its just that happy women, those who won the cortical lottery, are warm and loving, and they pass on their happy genes to their children, who then show up as securely attached. Or maybe the correlation runs in reverse: Children do have stable inborn temperaments 1—sunny, cranky, or anxious—and the sunny ones arejust so much fun that their mothers want to be more responsive. My skepticism is bolstered by the fact that studies done after Ainsworths home study have generally found only small correlations between mothers’ responsiveness andjhe attachment style of their children .18On the other hand, twin stud­ ies have found that genes play only a small role in determining attachment style. 1So now we have a real puzzle, a trait that correlates weakly with mothering and weaklywith genes. Where does it come from? Bowlby’s cybernetic theory forces us to think outside the usual nature- nurture dichotomy. You have to see attachment style as a property that emerges gradually during thousands of interactions. A child with a particular (genetically influenced) temperament makes bids for protection. A mother with a particular (genetically influenced) temperament responds, or doesn’t respond, based on her mood, on how overworked she is, or on what childcare guru she has been reading. No one event is particularly important, but over lime the child builds up what Bowlby called an “internal working model” of himself, his mother, and their relationship. If the model says that mom is al­ ways there foryou, you’ll be bolder in your playand explorations. Round after round, predictable and reciprocal interactions build trust and strengthen the relationship. Children with sunny dispositions who have happy mothers are almost certain to play the game well and develop a secure attachment style, but a dedicated mother can overcome either her own or her child’s less pleasant disposition and foster a secure internal working model of their rela- Iionship. (Everything I have reported above is true for fathers too, but most children in all cultures spend more time with their mothers.) I t's N o t Ju s t f o r C h i l d r e n When I started writing this chapter, I planned to review attachment theory in a page or two and then move on to the stuff that we adults really care",492
Page 133,"118 T h e H a p p i n e H y p o t h e s i s about. When we hear the word “love,”we think of romantic love. We might hear an occasional song about love between parents and children on a country music radio station, but anywhere else on the dial love means the kind of love you fall into and then struggle to hold onto. The more I delved into the research, however, the more I realized that Harlow, Bowlby, and Ainsworth can help us understand grown-up love. See for yourself. Which of the following statements best describes you in romantic relationships? 1. I find it relatively easy to get close to others and am comfortable depending on them and having them depend on me. I dont often worry about being abandoned or about someone getting too close to me. 2. I am somewhat uncomfortable being close to others; I find it diffi­ cult to trust them completely, difficult to allow myself to depend on them. I am nervous when anyone gets too close, and often lovepart­ ners want me to be more intimate than I feel comfortable being 3. I find that others are reluctant to get as close as I would like. I of­ ten worry that my partner doesn’t really love me or won’t want to stay with me. I want to merge completely with another person, and this desire sometimes scares people away .20 The attachment researchers Cindy Hazan and Phil Shaver developed this simple test to see whether Ainsworth’s three styles were still at work when adults try to form relationships. They are. Some people change style as they grow up, but the great majority of adults choose the descriptor that matched the way they were as a child .21 (The three choices above corre­ spond to Ainsworth’s secure, avoidant, and resistant patterns.) Internal working models are fairly stable (though not unchangeable), guiding people in their most important relationships throughout their lives. And just as secure babies are happier and more well-adjusted, secure adults en­ joy happier, longer relationships as well as lower rates of divorc.22 But does adult romantic love really grow out of the same psychological systemthat attaches children to their mothers? Tofind out, Hazan traced the process bywhich childhood attachment changes with age. Bowlby had been specific about the four defining features of attachment relationships:23",490
Page 134,"Love andAttachments 119 1. proximity maintenance (the child wants and strives to be near the parent) 2. separation distress (self-explanatory) 3. safe haven (the child, when frightened or distressed, comes to the parent for comfort) 4. secure base (the child uses the parent as a base from which to launch exploration and personal growth) Hazan and her colleagues 24 surveyed hundreds of people from the ages of six through eighty-two, asking which people in their lives fulfilled each of the four defining features of attachment (for example: “Whom do you most like to spend time with?”“Whom do you turn to when you are feeling upset?”). If babies could take the survey, they would nominate mom or dad as the answer to all questions, but by the time they are eight, children want most strongly to spend time with their peers. (When children resist leaving their friends to come home for dinner, that’s proximity maintenance.) Be­ tween the ages of eight and fourteen, safe haven expands from parents to include peers as adolescents begin turning to each other for emotional sup­ port. But it’sonly at the end of adolescence, around the ages fifteen to sev­ enteen, that all four components of attachment can be satisfied by a peer, specifically a romantic partner. The New Testament records this normal transference of attachment: “For this reason a man shall leave his father and mother and be joined to his wife, and the two shall become one flesh. So they are no longer two, but one flesh” ( Ma r k1 0 :7 - 9 ). Evidence that romantic partners become true attachment figures, like parents, comes from a review25, of research on how people cope with the death of a spouse, or a long separation. The review found that adults experi­ ence the same sequence Bowlby had observed in children placed in hospi­ tals: initial anxiety and panic, followed by lethargy and depressionrfollowed by recovery through emotional detachment. Furthermore, the review found that contact with close friends was of little help in blunting the pain, but re­ newed contact with one’sparents was much more effective. Once you think about it, the similarities between romantic relationships and parent-infant relationships are obvious. Lovers in the first rush of love spend endless hours in face-to-facemutual gaze, holding each-other, nuzzling",500
Page 135,"120 T h e H a p p i n eHsy p o t h e s i s and cuddling, kissing, using babyvoices, and enjoying the same release of the hormone oxytocin that binds mothers and babies to each other in a kind of addiction. Oxytocin prepares female mammals to give birth (triggering uter­ ine contractions and milk release), but it also affects their brains, fostering nurturant behaviors and reducing feelings of stresswhen mothers are in con­ tact with their childre.26 This powerful attachment of mothers to infants—often called the “care- giving system”—is a different psychological system from the attachment system in infants, but the two systems obviously evolved in tandem. The infants distress signals are effective only because they trigger caregiving desires in the mother. Oxytocin is the glue that makes the two parts stick together. Oxytocin has been oversimplified in the popular press as a hor­ mone that makes people (even ornery men) suddenly sweet and affection­ ate, but more recent work suggests that it can also be thought ofas a stress hormone in women :27It is secreted when women are under stress and their attachment needs are not being met, causing a need for contact with a loved one. On the other hand, when oxytocin floods the brain (male or female) while two people are in skin-to-skin contact, the effect is soothing and calming, and it strengthens the bond between them. For adults, the biggest rush of oxytocin—other than giving birth and nursing—comes from sex.28Sexual activity, especially if it includes cuddling, extended touching, and orgasm, turns on many of the same circuits that are used to bond in­ fants and parents. Its no wonder that childhood attachment styles persist in adulthood: The whole attachment system persists. L o v e a n d t h e S w e l l e d H e a d Adult love relationships are therefore built out of two ancient and interlock­ ing systems: an attachment system that bonds child to mother and a care- giving system that bonds mother to child. These systems are as old as mammals—older perhaps, because birds have them, too. But we still have to add something else to explain why sexis related to love. No problem; nature was motivating animals to seek each other outfor sexlong before mammals or birds existed. The “mating system” is completely separate from the other",510
Page 136,"Love andAttachments 121 two systems, and it involves distinctive brain areas and hormones .29In some animals, such as rats, the mating system draws male and female togetherjust long enough for them to copulate. In other species, such as elephants, male and female are drawn together for several days—the duration of the fertile period—during which they share tender caresses, play joyfully, and show many other signs that remind human observers of mutual infatuation .30 Whatever the duration, for most mammals (other than humans) the three sys­ tems are strung together with perfect predictability. First, hormonal changes in the female around the time ofovulation trigger advertisements of her fertil­ ity: Female dogs and cats, for example, release pheromones; female chim­ panzees and bonobos exhibit enormous red genital swellings. Next, the males become turned on and compete (in some species) to see who gets to mate. ’he female makes some sort of choice (in most species), which in turn acti­ vates herown mating system; and then, some months later, birth activates the earegiving systemin the mother and the attachment system in the,child. Dad is left out in the cold, where he spends his time sniffing for more phero­ mones, or scanning for more swellings. Sex is for reproduction; lasting love is for mothers and children. So why arepeople so different? How did human fe­ males come to hide all signs ofovulation and get men to fall in love with them and their children? Nobody knows, but the most plausible theory 31in my opinion begins with the enormous expansion of the human brain that I talked about in chapters 1 and 3. When the first hominids split off from the ancestors of modern chimpanzees, their brains were no bigger than those of chim­ panzees. These human ancestors were basicallyjust bipedal apes. But then, around 3 million years ago, something changed. Something in the environ­ ment, or perhaps an increase in tool use made possible by increasingly dex­ trous hands, made it highly adaptive to have a much larger brain and much higher intelligence. However, brain growth faced a literal bottleneck: the birth canal. There were physical limits to how large a head hominid females could give birth to and still have a pelvis that would allow them to walk up­ right. At least one species of hominid—our ancestor—evolved a novel tech­ nicjue that got around this limitation by sending babies out of the uterus long before their brains were developed enough to control their bodies. In all other primate species, brain growth slows dramatically soon after birth",563
Page 137,"122 T h e H a p p i n e Hy p o t h e s i s because the brain is mostly complete and ready for service; only some fine tuning during a few years of childhood play and learning is needed. In hu­ mans, however, the rapid rate of embryonic brain growth continues for about two years after birth, followed by a slower but continuous increase in brain weight for another twenty years .32 Humans are the only creatures on Earth whose young are utterly helpless for years, and heavily dependent on adult care for more than a decade. Given the enormous burden that is the human child, women cant do it on their own. Studies of hunter-gatherer societies show that mothers of young children cannot collect enough calories to keep themselves and their children aliv.33They rely on the large quantity of food as well as the protection provided by males in their peak years of productivity. Big brains, so useful for gossip and social manipulation (as well as hunting and gather­ ing), could therefore have evolved only if men began chipping in. But in the competitive game of evolution, its a losing move for a male to provide resources to a child who is not his own. So active fathers, male-female pair-bonds, male sexual jealousy, and big-headed babies all co-evolved— that is, arose gradually but together. A man who felt some desire to stay with a woman, guard her fidelity, and contribute to the rearing of their chil­ dren could produce smarter children than could his less paternal competi­ tors. In environments in which intelligence was highly adaptive (which may have been all human environments, once we began making tools), male investment in children may have paid off for the men themselves (for their genes, that is), and therefore became more common with each suc­ cessive generation. But from what rawmaterial could a tie evolve between men and women where one did not exist before? Evolution cannot design anything from scratch. Evolution is a process in which bones and hormones and behav­ ioral patterns that were already coded for by the genes are changed slightly (by random mutation of those genes) and then selected if they confer an advantage on an individual. It didn't take much change to modify the at­ tachment system, which every man and every woman had used as a child to attach to mom, and have it link up with the mating system, which was already turning on in each young person at the time of puberty.",505
Page 138,"Love andAttachments 123 Granted, this theory is speculative (the fossilized bones of a committed father look no different from those of an indifferent one), but it does tie to­ gether neatly many of the distinctive features of human life, such as our painful childbirth, long infancy, large brains, and high intelligence. The theory connects these biological quirks about human beings to some of the most important emotional oddities of our species: the existence of strong and (often) enduring emotional bonds between men and women, and be­ tween men and children. Because men and women in a relationship have many conflicting interests, evolutionary theory does not view love relation­ ships as harmonious partnerships for childrearing ;34but a universal feature of human cultures is that men and women form relationships intended to last for years (marriage) that constrain their sexual behavior in some way and institutionalize their ties to children and to each other. Two L o v e s , T w o E r r o r s Take one ancient attachment system, mix with an equal measure of care- giving system, throw in a modified mating system and voila, that’sromantic love. I seem to have lost something here; romantic love is so much more than the sum of its parts. It is an extraordinary psychological state that launched the Trojan war, inspired much of the world’s best (sind worst) music and literature, and gave many of us the most perfect days of our lives. But I think that romantic love is widely misunderstood, and looking at its psychological subcomponents can clear up some puzzles and guide the way around love’spitfalls. In some comers of universities, the professors tell their students that ro­ mantic love is a social construction, invented by the French troubadours of the twelfth century with their stories of chivalry, idealization of women, and the uplifting ache of unconsummated desire. It’s certainly true that cul- Iures create their own understandings of psychological phenomena, but many of those phenomena will occur regardless of what people think about them. (For example, death is socially constructed by every culture, but bod­ ies die without consulting those constructions.) A survey of ethnographies",451
Page 139,"124 T h e H a p p i n e H y p o t h e s i s from 166 human cultures 35found clear evidence of romantic love in 8 8 percent of them; for the rest, the ethnographic record was too thin to be sure either way. What the troubadours did give us is a particular mytH of “true”love—the idea that real love bums brightly and passionately, and then it just keeps on burning until death, and then it just keeps on burning after death as the lovers are reunited in heaven. This myth seems to have grown and diffused in modem times into a set of interrelated ideas about loye and marriage. As I see it, the modem myth of true love involves these beliefs: True love is passionate love that never fades; if you are in true love, you should marry that person; if love ends, you should leave that person because it was not true love; and if you can find the right person, you will have true love for­ ever. You might not believe this myth yourself, particularly if you are older than thirty; but many young people in Western nations are raised on it, and it acts as an ideal that they unconsciously carrywith them even if they scoff at it. (Its not just Hollywood that perpetrates the myth; Bollywood, the In­ dian film industry, is even more romanticized.) But if true love is defined as eternal passion, it is biologically impossible. To see this, and to save the dignity of love, you have to understand the dif­ ference between two kinds of love: passionate and companionate. Accord­ ing to the love researchers Ellen Berscheid and Elaine Walster, passionate love is a'wildly emotional state in which tender and sexual feelings, elation and pain, anxiety and relief, altruism and jealousy coexist in a confusion of feelings.”36 Passionate love is the love you fall into. It is what happens when Cupids golden arrow hits your heart, and, in an instant, the world around you is transformed. You crave union with your beloved. You want, somehow, to crawl into each other. This is the urge that Plato captured in The Symposium, in which Aristophanes’toast to love is a myth about its ori­ gins. Aristophanes says that people originally had four legs, four arms, and two faces, but one day the gods felt threatened by the power and arrogance of human beings and decided to cut them in half. Ever since that day, people have wandered the world searching for their other halves. (Some people originally had two male faces, some two female, and the rest a male and a female, thereby explaining the diversity of sexual orientation.) As proof, Aristophanes asks us to imagine that Hephaestus (the god of fire",584
Page 140,"Love andAttachments 125 and hence of blacksmiths) were to come upon two lovers as they lay to­ gether in an embrace, and say to them: What is it you human beings really want from each other? ... Is this your hearts desire, then—for the two ofyou to become parts of the same whole, as near as can be, and never to separate, day or night? Because if thats your desire, Fd like to weld you together and join you into some­ thing that is naturally whole, so that the two of you are made into one. Then the two of you would share*one life, as long as you lived, because you would be one being, and by the same token, when you died, you would be one and not two in Hades, having died a single death. Look at your love, and see if this is what you des.37 Aristophanes says that no lovers would turn down such an offer. Berscheid and Walster define companionate love, in contrast, as “the affection we feel for those with whom our lives are deeply intertwined .”38 Companionate love grows slowly over the years as lovers apply their attach­ ment and caregiving systems to each other, and as they begin to rely upon, care for, and trust each other. If the metaphor for passionate love is fire, the metaphor for companionate love is vines growing, intertwining, and gradually binding two people together. The contrast of wild and calm forms of love has occurred to people in many cultures. As a woman in a hunter- gatherer tribe in Namibia put it: “When two people come together their hearts are on fire and their passion is verygreat. After a while, the fire cools and that’s how it stays.”39 Passionate love is a drug. Its symptoms overlap with those of heroin (eu­ phoric well-being, sometimes described in sexual terms) and cocaine (eupho­ ria combined with giddiness and energy ).40It’s no wonder: Passionate love alters the activity of several parts of the brain, including parts that are in­ volved in the release of dopamine 41Any experience that feels intensely good releases dopamine, and the dopamine link is crucial here because drugs that artificially raise dopamine levels, as do heroin and cocaine, put you at risk of addiction. If you take cocaine once amonth, you won’t become addicted, but if you take it every day, you will. No drug can keep you continuously high. ’Ihe brain reacts to a chronic surplus of dopamine, develops neurochemical",532
Page 141,"126 T h e H a p p i n e H y p o t h e s i s reactions that oppose it, and restores its own equilibrium. At that point, toler­ ance has set in, and when the drug is withdrawn, the brain is unbalanced in the opposite direction: pain, lethargy, and despair follow withdrawal from co­ caine or from passionate love. So if passionate love is a drug—literally a drug—it has to wear off even­ tually. Nobody can stayhigh forever (although if you find passionate love in a long-distance relationship, its like taking cocaine once a month; the drug can retain its potency because of your suffering between doses). If passion­ ate love is allowed to run its joyous course, there must come a day when it weakens. One of the lovers usually feels the change first. Its like waking up from a shared dream to see your sleeping partner drooling. In those mo­ ments of returning sanity, the lover may see flaws and defects to which she was blind before. The beloved falls off the pedestal, and then, because our minds are so sensitive to changes, her change in feeling can take on exag­ gerated importance. “Oh, my God,” she thinks, “the magic has worn off— Im not in love with him anymore.” If she subscribes to the myth of true love, she might even consider breaking up with him. After all, if the magic ended, it cant be true love. But if she does end the relationship, she might be making a mistake. Passionate love does not turn into companionate love. Passionate love and companionate love are two separate processes, and they have different time courses. Their diverging paths produce two danger points, two places where many people make grave mistakes. In figure . , I6 1drawn out how the intensity of passionate and companionate love might vary in one per­ sons relationship over the course of six months. Passionate love ignites, it bums, and it can reach its maximum temperature within days. During its weeks or months of madness, lovers cant help but think about marriage, and often they talk about it, too. Sometimes they even accept Hephaestus’s offer and commit to marriage. This is often a mistake. Nobody can think straight when high on passionate love. The rider is as besotted as the ele­ phant. People are not allowed to sign contracts when they are drunk, and I sometimes wish we could prevent people from proposing marriage when they are high on passionate love because once a marriage proposal is ac­ cepted, families are notified, and a date is set, its very hard to stop the train. The drug is likely to wear off at some point during the stressful wed-",572
